"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type","Param: wrapped"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1245.011199,1.746880,"ns/op",800,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1279.408908,2.473734,"ns/op",800,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1252.154972,6.035188,"ns/op",800,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1276.310052,2.142487,"ns/op",800,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1252.438554,1.767217,"ns/op",800,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1409.193121,11.052924,"ns/op",900,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1395.394604,1.067879,"ns/op",900,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1420.856015,7.582617,"ns/op",900,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1403.885753,1.706275,"ns/op",900,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1418.352615,1.599024,"ns/op",900,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1401.409149,2.155169,"ns/op",900,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1434.763450,1.731113,"ns/op",900,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1413.248845,1.796577,"ns/op",900,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1428.850776,1.433473,"ns/op",900,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1407.166439,1.875434,"ns/op",900,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1565.440319,9.260298,"ns/op",1000,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1551.811923,2.288632,"ns/op",1000,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1577.881087,8.653019,"ns/op",1000,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1559.384253,0.237937,"ns/op",1000,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1573.804656,7.498715,"ns/op",1000,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1557.488266,2.064788,"ns/op",1000,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1586.511588,1.047092,"ns/op",1000,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1566.326269,7.716809,"ns/op",1000,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1583.607445,1.901895,"ns/op",1000,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1562.794315,1.621109,"ns/op",1000,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,17.595287,0.015647,"ns/op",0,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,1.892948,0.002776,"ns/op",0,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,34.248914,0.064111,"ns/op",0,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,14.912385,0.022822,"ns/op",0,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,29.832592,0.040211,"ns/op",0,sync,true
